x,y,type,temp,stress
0,0.0288,creep,1000,16
0.04,0.0339,,,
0.1,0.0373,,,
0.12,0.0401,,,
0.16,0.0415,,,
0.24,0.0445,,,
0.33,0.0484,,,
0.42,0.0509,,,
0.5,0.0537,,,
0.73,0.0592,,,
0.92,0.0629,,,
1.12,0.067,,,
1.32,0.0699,,,
1.65,0.0749,,,
2.24,0.0845,,,
2.5,0.0866,,,
2.7,0.0902,,,
3.05,0.0945,,,
3.42,0.0992,,,
3.85,0.105,,,
4.14,0.1099,,,
4.42,0.1131,,,
4.72,0.1172,,,
4.94,0.1199,,,
5.51,0.1267,,,
5.92,0.1327,,,
6.17,0.1349,,,
6.71,0.1415,,,
6.97,0.145,,,
7.44,0.151,,,
7.71,0.1545,,,
8.01,0.1582,,,
8.33,0.1621,,,
8.78,0.1677,,,
9.28,0.1742,,,
9.73,0.1803,,,
10.26,0.1863,,,
10.88,0.1937,,,
11.31,0.199,,,
11.83,0.2055,,,
12.15,0.2091,,,
12.71,0.2161,,,
13.2,0.222,,,
13.77,0.2295,,,
14.35,0.2382,,,
15.02,0.247,,,
15.53,0.2542,,,
16.07,0.2617,,,
16.5,0.2677,,,
16.8,0.2705,,,
17.14,0.2759,,,
17.4,0.2794,,,
17.8,0.2847,,,
18.75,0.2976,,,
19.22,0.3035,,,
19.55,0.3079,,,
19.92,0.3128,,,
20.26,0.3171,,,
20.96,0.3261,,,
21.27,0.3306,,,
21.59,0.3339,,,
21.99,0.3385,,,
22.51,0.3445,,,
22.98,0.3504,,,
23.54,0.3563,,,
23.94,0.3607,,,
24.48,0.3669,,,
24.78,0.3707,,,
25.43,0.3777,,,
25.83,0.3828,,,
26.25,0.3877,,,
26.7,0.3928,,,
26.95,0.3955,,,
27.41,0.4009,,,
28.06,0.4077,,,
28.53,0.4128,,,
29.42,0.4222,,,
29.98,0.4284,,,
30.43,0.4335,,,
30.77,0.4382,,,
31.05,0.4417,,,
31.35,0.4447,,,
31.62,0.4473,,,
32.04,0.4517,,,
32.37,0.4561,,,
32.87,0.4615,,,
33.62,0.4706,,,
33.99,0.4734,,,
34.54,0.4792,,,
35.09,0.4852,,,
35.42,0.4886,,,
35.67,0.491,,,
36.14,0.4957,,,
36.59,0.5004,,,
36.89,0.5044,,,
37.34,0.5095,,,
37.74,0.5132,,,
38.09,0.5175,,,
38.44,0.5209,,,
38.78,0.5242,,,
39.03,0.5266,,,
39.31,0.5301,,,
39.63,0.5332,,,
40.01,0.5372,,,
40.63,0.544,,,
40.98,0.5475,,,
41.38,0.5514,,,
41.85,0.5574,,,
42.15,0.5601,,,
42.63,0.5648,,,
42.93,0.5683,,,
43.7,0.5766,,,
44.05,0.5805,,,
44.55,0.5855,,,
45.08,0.5909,,,
45.42,0.5944,,,
46.15,0.6026,,,
46.52,0.6059,,,
47,0.61,,,
47.42,0.6148,,,
47.9,0.6196,,,
48.2,0.6233,,,
48.6,0.627,,,
48.87,0.6296,,,
49.35,0.634,,,
49.67,0.638,,,
50.04,0.641,,,
50.39,0.6448,,,
50.86,0.6496,,,
51.39,0.6549,,,
51.92,0.6595,,,
52.24,0.6627,,,
52.59,0.6657,,,
52.86,0.6682,,,
53.23,0.6719,,,
53.56,0.6744,,,
53.89,0.6785,,,
54.39,0.6836,,,
54.73,0.6867,,,
55.14,0.6908,,,
55.75,0.697,,,
56.31,0.7025,,,
56.56,0.7056,,,
56.81,0.708,,,
57.18,0.7118,,,
57.48,0.715,,,
57.76,0.7176,,,
58.1,0.72,,,
58.41,0.7229,,,
58.88,0.729,,,
59.2,0.731,,,
59.87,0.7372,,,
60.12,0.7405,,,
60.65,0.7451,,,
61.02,0.7479,,,
61.48,0.7522,,,
61.77,0.7561,,,
62.12,0.7592,,,
62.42,0.7618,,,
63.25,0.7706,,,
63.55,0.7731,,,
63.8,0.7762,,,
64.2,0.7796,,,
64.52,0.7825,,,
64.86,0.7857,,,
65.39,0.7919,,,
65.84,0.7953,,,
66.31,0.7999,,,
66.61,0.8031,,,
66.87,0.8056,,,
67.22,0.8084,,,
68.11,0.818,,,
68.49,0.8209,,,
68.98,0.8253,,,
69.26,0.8283,,,
69.76,0.832,,,
70.29,0.838,,,
71,0.8442,,,
71.91,0.8528,,,
72.36,0.8566,,,
72.65,0.8599,,,
73.01,0.8627,,,
73.46,0.8669,,,
73.8,0.8704,,,
74.07,0.8728,,,
74.6,0.8772,,,
74.85,0.8801,,,
75.33,0.8841,,,
75.85,0.889,,,
76.1,0.8907,,,
76.82,0.8983,,,
77.44,0.9048,,,
77.7,0.9068,,,
77.95,0.9094,,,
78.2,0.9102,,,
79.19,0.9205,,,
79.71,0.9251,,,
80.07,0.9288,,,
80.49,0.9316,,,
81.01,0.9361,,,
81.61,0.9425,,,
81.91,0.9446,,,
82.21,0.9476,,,
82.47,0.9495,,,
82.73,0.9514,,,
83.41,0.9582,,,
83.73,0.9613,,,
84.09,0.9655,,,
84.36,0.9667,,,
84.66,0.9704,,,
85.06,0.9739,,,
85.65,0.979,,,
86.2,0.9842,,,
86.66,0.988,,,
87.03,0.9917,,,
87.35,0.9947,,,
87.9,0.9997,,,
88.25,1.0033,,,
88.72,1.0071,,,
88.97,1.01,,,
89.22,1.0114,,,
89.88,1.0172,,,
90.47,1.022,,,
90.83,1.0253,,,
91.38,1.0314,,,
91.63,1.0321,,,
92.12,1.0363,,,
92.45,1.0387,,,
92.99,1.044,,,
93.37,1.0467,,,
93.74,1.0504,,,
94.2,1.0546,,,
94.45,1.057,,,
94.87,1.0613,,,
95.51,1.0664,,,
95.99,1.0713,,,
96.76,1.0781,,,
97.07,1.0819,,,
97.51,1.0848,,,
97.78,1.0875,,,
98.08,1.09,,,
98.49,1.094,,,
98.86,1.0964,,,
99.36,1.1015,,,
99.64,1.1043,,,
99.91,1.1064,,,
100.19,1.108,,,
100.8,1.1133,,,
101.43,1.1185,,,
101.7,1.1218,,,
101.96,1.1234,,,
102.45,1.1277,,,
102.73,1.1309,,,
103.21,1.1343,,,
103.53,1.1377,,,
103.78,1.1391,,,
104.15,1.1417,,,
104.57,1.1461,,,
105.28,1.1523,,,
105.75,1.1565,,,
106.12,1.16,,,
106.37,1.1618,,,
106.65,1.1642,,,
107.04,1.1682,,,
107.59,1.1725,,,
108.12,1.1772,,,
108.4,1.1799,,,
109.19,1.1862,,,
109.82,1.1931,,,
110.12,1.1955,,,
110.42,1.1977,,,
110.67,1.2003,,,
111.09,1.2037,,,
111.42,1.2067,,,
111.69,1.2093,,,
112.19,1.2135,,,
112.69,1.2174,,,
113.18,1.2204,,,
113.53,1.2245,,,
113.86,1.2266,,,
114.33,1.231,,,
114.91,1.2353,,,
115.31,1.2399,,,
116.15,1.2473,,,
116.48,1.2494,,,
116.88,1.2528,,,
117.33,1.257,,,
117.8,1.2613,,,
118.25,1.2642,,,
118.9,1.2696,,,
119.43,1.2758,,,
119.92,1.279,,,
120.27,1.2823,,,
120.57,1.285,,,
121.23,1.2907,,,
121.72,1.2944,,,
122.05,1.2975,,,
122.6,1.3021,,,
123.07,1.3058,,,
123.5,1.3096,,,
124.07,1.3142,,,
124.32,1.3166,,,
125.11,1.323,,,
125.61,1.3268,,,
125.86,1.3302,,,
126.44,1.3343,,,
126.84,1.3377,,,
127.11,1.3394,,,
127.93,1.3471,,,
128.31,1.3502,,,
128.69,1.3532,,,
128.96,1.3564,,,
129.26,1.3591,,,
129.58,1.3604,,,
130.06,1.3647,,,
130.39,1.3675,,,
130.66,1.3696,,,
131.08,1.3739,,,
131.48,1.377,,,
131.93,1.3804,,,
132.25,1.3837,,,
132.71,1.3882,,,
133.16,1.391,,,
133.58,1.3952,,,
133.9,1.3968,,,
134.23,1.401,,,
134.48,1.4024,,,
134.85,1.4052,,,
135.5,1.4119,,,
135.78,1.4136,,,
136.2,1.4181,,,
136.7,1.4217,,,
137.15,1.4256,,,
137.42,1.4281,,,
137.7,1.43,,,
137.97,1.4329,,,
138.27,1.4369,,,
