x,y,type,temp,stress
0,0.000487,creep,800,80
0.02,0.000557,,,
0.03,0.000621,,,
0.03,0.000678,,,
0.04,0.000729,,,
0.05,0.000775,,,
0.06,0.000817,,,
0.07,0.000853,,,
0.09,0.000886,,,
0.11,0.000916,,,
0.15,0.000942,,,
0.18,0.000966,,,
0.2,0.000987,,,
0.24,0.00101,,,
0.32,0.00103,,,
0.37,0.00104,,,
0.4,0.00106,,,
0.45,0.00107,,,
0.48,0.00109,,,
0.53,0.0011,,,
0.57,0.00112,,,
0.65,0.00113,,,
0.68,0.00115,,,
0.73,0.00116,,,
0.78,0.00118,,,
0.87,0.0012,,,
0.92,0.00122,,,
0.97,0.00124,,,
1.02,0.00126,,,
1.05,0.00128,,,
1.12,0.00131,,,
1.17,0.00134,,,
1.28,0.00136,,,
1.35,0.00139,,,
1.42,0.00142,,,
1.47,0.00146,,,
1.55,0.00149,,,
1.65,0.00153,,,
1.7,0.00157,,,
1.78,0.00161,,,
1.9,0.00165,,,
2.05,0.00169,,,
2.22,0.00174,,,
2.32,0.00178,,,
2.44,0.00183,,,
2.52,0.00188,,,
2.75,0.00193,,,
2.89,0.00199,,,
3,0.00204,,,
3.14,0.0021,,,
3.25,0.00215,,,
3.34,0.00221,,,
3.44,0.00226,,,
3.59,0.00232,,,
3.82,0.00238,,,
3.97,0.00244,,,
4.1,0.0025,,,
4.24,0.00256,,,
4.3,0.00262,,,
4.39,0.00268,,,
4.45,0.00275,,,
4.72,0.00281,,,
4.84,0.00287,,,
5.09,0.00293,,,
5.24,0.00299,,,
5.32,0.00306,,,
5.46,0.00312,,,
5.54,0.00318,,,
5.66,0.00324,,,
5.76,0.0033,,,
5.87,0.00336,,,
5.94,0.00342,,,
6.07,0.00348,,,
6.19,0.00353,,,
6.31,0.00359,,,
6.42,0.00364,,,
6.64,0.0037,,,
6.76,0.00375,,,
6.84,0.0038,,,
6.91,0.00385,,,
6.99,0.0039,,,
7.07,0.00394,,,
7.19,0.00399,,,
7.31,0.00404,,,
7.41,0.00408,,,
7.49,0.00413,,,
7.66,0.00417,,,
7.77,0.00422,,,
7.86,0.00426,,,
7.97,0.00431,,,
8.02,0.00435,,,
8.07,0.0044,,,
8.16,0.00444,,,
8.31,0.00448,,,
8.41,0.00453,,,
8.53,0.00457,,,
8.68,0.00462,,,
8.76,0.00466,,,
8.86,0.00471,,,
8.91,0.00475,,,
9.01,0.0048,,,
9.14,0.00484,,,
9.24,0.00489,,,
9.33,0.00494,,,
9.38,0.00498,,,
9.48,0.00503,,,
9.68,0.00508,,,
9.74,0.00513,,,
9.83,0.00517,,,
9.93,0.00522,,,
10.03,0.00527,,,
10.16,0.00532,,,
10.29,0.00537,,,
10.38,0.00543,,,
10.53,0.00548,,,
10.73,0.00553,,,
10.83,0.00558,,,
11.19,0.00563,,,
11.33,0.00568,,,
11.48,0.00573,,,
11.61,0.00578,,,
11.71,0.00583,,,
11.93,0.00588,,,
12.01,0.00594,,,
12.1,0.00599,,,
12.31,0.00604,,,
12.4,0.00609,,,
12.48,0.00615,,,
12.61,0.0062,,,
12.8,0.00625,,,
12.91,0.0063,,,
13,0.00635,,,
13.11,0.0064,,,
13.2,0.00645,,,
13.35,0.0065,,,
13.45,0.00655,,,
13.58,0.0066,,,
13.78,0.00665,,,
13.95,0.00669,,,
14.05,0.00674,,,
14.15,0.00679,,,
14.26,0.00684,,,
14.31,0.00689,,,
14.43,0.00694,,,
14.63,0.00698,,,
14.85,0.00703,,,
14.93,0.00708,,,
15.02,0.00712,,,
15.23,0.00717,,,
15.33,0.00721,,,
15.45,0.00726,,,
15.62,0.0073,,,
15.73,0.00735,,,
15.83,0.0074,,,
15.95,0.00744,,,
16.07,0.00749,,,
16.27,0.00753,,,
16.4,0.00758,,,
16.52,0.00762,,,
16.65,0.00767,,,
16.82,0.00772,,,
16.92,0.00776,,,
17.1,0.00781,,,
17.25,0.00786,,,
17.35,0.00791,,,
17.48,0.00796,,,
17.6,0.00801,,,
17.72,0.00806,,,
17.84,0.00812,,,
18.12,0.00817,,,
18.24,0.00822,,,
18.34,0.00827,,,
18.52,0.00833,,,
18.69,0.00838,,,
18.94,0.00843,,,
19.02,0.00849,,,
19.24,0.00854,,,
19.34,0.0086,,,
19.47,0.00865,,,
19.6,0.0087,,,
19.72,0.00876,,,
19.97,0.00881,,,
20.09,0.00887,,,
20.24,0.00892,,,
20.37,0.00898,,,
20.49,0.00903,,,
20.67,0.00909,,,
20.8,0.00915,,,
21.04,0.0092,,,
21.26,0.00926,,,
21.41,0.00932,,,
21.66,0.00938,,,
21.86,0.00943,,,
21.99,0.00949,,,
22.21,0.00955,,,
22.41,0.0096,,,
22.51,0.00966,,,
22.66,0.00971,,,
22.91,0.00977,,,
23.01,0.00982,,,
23.24,0.00988,,,
23.34,0.00993,,,
23.61,0.00999,,,
23.79,0.01004,,,
23.87,0.0101,,,
24.01,0.01015,,,
24.19,0.0102,,,
24.29,0.01025,,,
24.44,0.01031,,,
24.66,0.01036,,,
24.79,0.01041,,,
24.96,0.01046,,,
25.14,0.01051,,,
25.26,0.01056,,,
25.36,0.01061,,,
25.49,0.01066,,,
25.56,0.01071,,,
25.68,0.01076,,,
25.99,0.01081,,,
26.09,0.01086,,,
26.26,0.01091,,,
26.61,0.01095,,,
26.74,0.011,,,
26.88,0.01105,,,
27.04,0.0111,,,
27.16,0.01115,,,
27.28,0.01119,,,
27.4,0.01124,,,
27.48,0.01129,,,
27.6,0.01134,,,
27.71,0.01139,,,
27.85,0.01144,,,
27.95,0.01149,,,
28.06,0.01154,,,
28.2,0.01158,,,
28.51,0.01163,,,
28.71,0.01168,,,
28.9,0.01173,,,
29.01,0.01178,,,
29.15,0.01184,,,
29.4,0.01189,,,
29.53,0.01194,,,
29.68,0.01199,,,
29.85,0.01204,,,
29.98,0.0121,,,
30.11,0.01215,,,
30.16,0.0122,,,
30.35,0.01225,,,
30.53,0.0123,,,
30.77,0.01235,,,
30.97,0.0124,,,
31.22,0.01245,,,
31.38,0.01251,,,
31.52,0.01256,,,
31.67,0.01261,,,
31.83,0.01266,,,
31.95,0.01272,,,
32.1,0.01277,,,
32.22,0.01282,,,
32.43,0.01288,,,
32.62,0.01293,,,
32.88,0.01299,,,
32.98,0.01304,,,
33.15,0.01309,,,
33.25,0.01314,,,
33.42,0.0132,,,
33.55,0.01325,,,
33.7,0.0133,,,
33.82,0.01336,,,
34.04,0.01341,,,
34.2,0.01347,,,
34.29,0.01352,,,
34.45,0.01357,,,
34.57,0.01363,,,
34.69,0.01368,,,
34.8,0.01373,,,
34.99,0.01378,,,
35.3,0.01383,,,
35.44,0.01389,,,
35.65,0.01394,,,
35.8,0.01399,,,
36.05,0.01404,,,
36.19,0.01409,,,
36.29,0.01415,,,
36.47,0.0142,,,
36.59,0.01425,,,
36.75,0.01431,,,
36.89,0.01436,,,
37.12,0.01441,,,
37.41,0.01446,,,
37.69,0.01452,,,
37.84,0.01457,,,
38.04,0.01462,,,
38.21,0.01467,,,
38.27,0.01473,,,
38.47,0.01478,,,
38.61,0.01483,,,
