time,strain,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,1.71E-06,25,cyclic-time-strain,cyclic-time-strain,0.015,4.30E-04,157000,0.3
0.3366,-4.65E-05,,,,,,,,
0.4366,-1.90E-05,,,,,,,,
0.5368,-3.96E-05,,,,,,,,
0.6366,-5.18E-06,,,,,,,,
0.7366,8.59E-06,,,,,,,,
0.8368,4.99E-05,,,,,,,,
0.9366,7.06E-05,,,,,,,,
1.0366,1.05E-04,,,,,,,,
1.1366,1.33E-04,,,,,,,,
1.2366,1.53E-04,,,,,,,,
1.3366,2.01E-04,,,,,,,,
1.4366,2.29E-04,,,,,,,,
1.5366,2.91E-04,,,,,,,,
1.6368,3.25E-04,,,,,,,,
1.7366,3.53E-04,,,,,,,,
1.8366,4.01E-04,,,,,,,,
1.9366,4.42E-04,,,,,,,,
2.0366,4.63E-04,,,,,,,,
2.1366,5.25E-04,,,,,,,,
2.2368,5.53E-04,,,,,,,,
2.3368,6.01E-04,,,,,,,,
2.4366,6.28E-04,,,,,,,,
2.5368,6.83E-04,,,,,,,,
2.6368,6.97E-04,,,,,,,,
2.7368,7.25E-04,,,,,,,,
2.8368,7.87E-04,,,,,,,,
2.9366,8.14E-04,,,,,,,,
3.0368,8.35E-04,,,,,,,,
3.1368,8.76E-04,,,,,,,,
3.2368,9.11E-04,,,,,,,,
3.3368,9.52E-04,,,,,,,,
3.4368,9.93E-04,,,,,,,,
3.5368,0.00103,,,,,,,,
3.6368,0.00108,,,,,,,,
3.7368,0.00112,,,,,,,,
3.8366,0.00115,,,,,,,,
3.9368,0.00121,,,,,,,,
4.0368,0.00126,,,,,,,,
4.1366,0.0013,,,,,,,,
4.2368,0.00135,,,,,,,,
4.3368,0.00139,,,,,,,,
4.4366,0.00145,,,,,,,,
4.5368,0.00148,,,,,,,,
4.6368,0.00154,,,,,,,,
4.7368,0.00159,,,,,,,,
4.8368,0.00163,,,,,,,,
4.9368,0.00168,,,,,,,,
5.0366,0.0017,,,,,,,,
5.1368,0.00176,,,,,,,,
5.2368,0.00178,,,,,,,,
5.3366,0.00183,,,,,,,,
5.4368,0.00188,,,,,,,,
5.5368,0.00192,,,,,,,,
5.6366,0.00196,,,,,,,,
5.7368,0.00201,,,,,,,,
5.8368,0.00203,,,,,,,,
5.9368,0.00211,,,,,,,,
6.0366,0.00213,,,,,,,,
