time,stress,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,4.66602,25,cyclic-time-stress,cyclic-time-stress,0.015,4.30E-04,195600,0.29
0.3366,-1.57012,,,,,,,,
0.4366,-2.27169,,,,,,,,
0.5368,-0.16699,,,,,,,,
0.6366,3.96446,,,,,,,,
0.7366,8.32976,,,,,,,,
0.8368,13.31868,,,,,,,,
0.9366,18.3076,,,,,,,,
1.0366,23.29651,,,,,,,,
1.1366,28.987,,,,,,,,
1.2366,34.83339,,,,,,,,
1.3366,41.14748,,,,,,,,
1.4366,48.24111,,,,,,,,
1.5366,56.11424,,,,,,,,
1.6368,63.67557,,,,,,,,
1.7366,71.2369,,,,,,,,
1.8366,78.48642,,,,,,,,
1.9366,85.65799,,,,,,,,
2.0366,92.75161,,,,,,,,
2.1366,99.53341,,,,,,,,
2.2368,106.31523,,,,,,,,
2.3368,113.17499,,,,,,,,
2.4366,120.03475,,,,,,,,
2.5368,126.73861,,,,,,,,
2.6368,133.52042,,,,,,,,
2.7368,140.30223,,,,,,,,
2.8368,147.08405,,,,,,,,
2.9366,153.16428,,,,,,,,
3.0368,159.79019,,,,,,,,
3.1368,166.10429,,,,,,,,
3.2368,172.7302,,,,,,,,
3.3368,178.81045,,,,,,,,
3.4368,185.04659,,,,,,,,
3.5368,190.97092,,,,,,,,
3.6368,196.73936,,,,,,,,
3.7368,202.27393,,,,,,,,
3.8366,207.3408,,,,,,,,
3.9368,212.25177,,,,,,,,
4.0368,216.30527,,,,,,,,
4.1366,220.20287,,,,,,,,
4.2368,223.24299,,,,,,,,
4.3368,226.04927,,,,,,,,
4.4366,228.3878,,,,,,,,
4.5368,230.1807,,,,,,,,
4.6368,231.97358,,,,,,,,
4.7368,233.68853,,,,,,,,
4.8368,235.09167,,,,,,,,
4.9368,236.4948,,,,,,,,
5.0366,237.43022,,,,,,,,
5.1368,238.83335,,,,,,,,
5.2368,239.61286,,,,,,,,
5.3366,240.86012,,,,,,,,
5.4368,241.71759,,,,,,,,
5.5368,242.26322,,,,,,,,
5.6366,243.04275,,,,,,,,
5.7368,243.82227,,,,,,,,
5.8368,244.67974,,,,,,,,
5.9368,245.53722,,,,,,,,
6.0366,245.927,,,,,,,,
6.1368,246.70649,,,,,,,,
6.2368,247.17419,,,,,,,,
6.3366,247.3301,,,,,,,,
6.4368,248.18757,,,,,,,,
6.5368,248.96709,,,,,,,,
6.6368,249.59071,,,,,,,,
6.7368,250.21434,,,,,,,,
6.8368,250.52612,,,,,,,,
6.9368,250.6041,,,,,,,,
