strain,stress,temp,type,title,max_strain,strain_rate
1.71E-06,4.66602,25,cyclic-strain-stress,cyclic-strain-stress,0.015,4.30E-04
-4.65E-05,-1.57012,,,,,
-1.90E-05,-2.27169,,,,,
-3.96E-05,-0.16699,,,,,
-5.18E-06,3.96446,,,,,
8.59E-06,8.32976,,,,,
4.99E-05,13.31868,,,,,
7.06E-05,18.3076,,,,,
1.05E-04,23.29651,,,,,
1.33E-04,28.987,,,,,
1.53E-04,34.83339,,,,,
2.01E-04,41.14748,,,,,
2.29E-04,48.24111,,,,,
2.91E-04,56.11424,,,,,
3.25E-04,63.67557,,,,,
3.53E-04,71.2369,,,,,
4.01E-04,78.48642,,,,,
4.42E-04,85.65799,,,,,
4.63E-04,92.75161,,,,,
5.25E-04,99.53341,,,,,
5.53E-04,106.31523,,,,,
6.01E-04,113.17499,,,,,
6.28E-04,120.03475,,,,,
6.83E-04,126.73861,,,,,
6.97E-04,133.52042,,,,,
7.25E-04,140.30223,,,,,
7.87E-04,147.08405,,,,,
8.14E-04,153.16428,,,,,
8.35E-04,159.79019,,,,,
8.76E-04,166.10429,,,,,
9.11E-04,172.7302,,,,,
9.52E-04,178.81045,,,,,
9.93E-04,185.04659,,,,,
0.00103,190.97092,,,,,
0.00108,196.73936,,,,,
0.00112,202.27393,,,,,
0.00115,207.3408,,,,,
0.00121,212.25177,,,,,
0.00126,216.30527,,,,,
0.0013,220.20287,,,,,
0.00135,223.24299,,,,,
0.00139,226.04927,,,,,
0.00145,228.3878,,,,,
0.00148,230.1807,,,,,
0.00154,231.97358,,,,,
0.00159,233.68853,,,,,
0.00163,235.09167,,,,,
0.00168,236.4948,,,,,
0.0017,237.43022,,,,,
0.00176,238.83335,,,,,
0.00178,239.61286,,,,,
0.00183,240.86012,,,,,
0.00188,241.71759,,,,,
0.00192,242.26322,,,,,
0.00196,243.04275,,,,,
0.00201,243.82227,,,,,
0.00203,244.67974,,,,,
0.00211,245.53722,,,,,
0.00213,245.927,,,,,
0.00219,246.70649,,,,,
0.00221,247.17419,,,,,
0.00226,247.3301,,,,,
0.00229,248.18757,,,,,
0.00234,248.96709,,,,,
0.0024,249.59071,,,,,
0.00243,250.21434,,,,,
0.00247,250.52612,,,,,
0.00252,250.6041,,,,,
0.00256,251.14975,,,,,
0.0026,251.53951,,,,,
0.00264,252.31902,,,,,
0.00268,252.63085,,,,,
0.00272,253.41037,,,,,
0.00278,253.87806,,,,,
0.00282,254.50168,,,,,
0.00285,254.73553,,,,,
0.00291,254.57962,,,,,
0.00295,254.81346,,,,,
0.00299,255.35916,,,,,
0.00302,255.82685,,,,,
0.00307,256.45048,,,,,
0.00311,256.76228,,,,,
0.00314,256.91819,,,,,
0.00318,257.22999,,,,,
0.00324,257.8536,,,,,
0.00329,257.77566,,,,,
0.00329,257.93155,,,,,
0.00336,258.63314,,,,,
0.00342,258.94494,,,,,
0.00344,259.25674,,,,,
0.00351,259.02287,,,,,
0.00351,259.25674,,,,,
0.00358,259.56854,,,,,
0.00362,260.19217,,,,,
0.00364,260.11421,,,,,
0.00371,260.50397,,,,,
0.00375,260.81575,,,,,
0.00379,260.97169,,,,,
0.00382,261.28349,,,,,
0.00388,261.59529,,,,,
0.00392,261.67323,,,,,
0.00397,262.14096,,,,,
0.004,262.21892,,,,,
0.00406,262.76457,,,,,
0.0041,262.99844,,,,,
0.00413,262.92048,,,,,
0.00417,263.07637,,,,,
0.00422,263.38819,,,,,
0.00426,263.93384,,,,,
0.00429,263.62204,,,,,
0.00433,264.0118,,,,,
0.00442,264.16769,,,,,
0.00442,264.24567,,,,,
0.00446,264.55747,,,,,
0.00451,264.55747,,,,,
0.00455,264.94723,,,,,
0.0046,264.94723,,,,,
0.00463,265.1811,,,,,
0.00466,265.49288,,,,,
0.00473,265.49288,,,,,
0.00477,265.49288,,,,,
0.00479,265.49288,,,,,
0.00483,265.8047,,,,,
0.0049,266.27242,,,,,
0.00493,266.03857,,,,,
0.00497,266.42831,,,,,
0.00504,266.74013,,,,,
0.00506,266.97398,,,,,
0.00512,266.97398,,,,,
0.00514,267.12989,,,,,
0.00519,267.36374,,,,,
0.00524,267.67554,,,,,
0.00527,267.51963,,,,,
0.0053,268.0653,,,,,
0.00539,268.0653,,,,,
0.0054,268.0653,,,,,
0.00544,268.22119,,,,,
0.00551,268.92277,,,,,
0.00552,268.92277,,,,,
0.00557,269.00073,,,,,
0.00562,268.84481,,,,,
0.00566,269.07866,,,,,
0.00568,269.15662,,,,,
0.00573,269.46844,,,,,
0.00577,269.70229,,,,,
0.00582,269.54637,,,,,
0.00586,269.46844,,,,,
0.0059,269.70229,,,,,
0.00594,269.8582,,,,,
0.00599,269.8582,,,,,
0.00603,269.93613,,,,,
0.00608,270.01407,,,,,
0.00612,270.32591,,,,,
0.00618,270.55976,,,,,
0.00621,271.26132,,,,,
0.00624,271.18339,,,,,
0.00631,271.18339,,,,,
0.00633,271.18339,,,,,
0.00638,271.65108,,,,,
0.00641,271.65108,,,,,
0.00645,271.72903,,,,,
0.0065,271.72903,,,,,
0.00654,271.9629,,,,,
0.00656,272.04084,,,,,
0.00664,272.43059,,,,,
0.00666,272.89831,,,,,
0.00672,273.05422,,,,,
0.00675,272.66446,,,,,
0.00682,272.89831,,,,,
0.00684,272.66446,,,,,
0.00687,272.82038,,,,,
0.00691,273.366,,,,,
0.00696,273.05422,,,,,
0.00701,273.13216,,,,,
0.00705,273.44398,,,,,
0.00709,273.59987,,,,,
0.00713,273.52194,,,,,
0.00719,273.83374,,,,,
0.00722,273.75578,,,,,
0.00725,273.67785,,,,,
0.00732,274.37941,,,,,
0.00734,274.37941,,,,,
0.00739,274.37941,,,,,
0.00746,274.53532,,,,,
0.00748,274.53532,,,,,
0.00753,274.8471,,,,,
0.00756,274.92504,,,,,
0.00762,275.54866,,,,,
0.00766,275.1589,,,,,
0.00769,275.86049,,,,,
0.00773,275.31482,,,,,
0.00778,275.93844,,,,,
0.00781,275.78251,,,,,
0.00785,275.86049,,,,,
0.0079,276.0164,,,,,
0.00795,276.25025,,,,,
0.00798,276.17229,,,,,
0.00802,276.3282,,,,,
0.00806,276.48409,,,,,
0.00811,276.63998,,,,,
0.00818,276.79592,,,,,
0.00819,276.87387,,,,,
0.00825,277.02976,,,,,
0.00827,276.56205,,,,,
0.00833,277.02976,,,,,
0.00837,277.18567,,,,,
0.0084,277.41952,,,,,
0.00844,277.34156,,,,,
0.00848,277.41952,,,,,
0.00853,277.34156,,,,,
0.00858,278.04313,,,,,
0.00862,277.96519,,,,,
0.00867,278.35493,,,,,
0.00871,278.51084,,,,,
0.00875,278.19904,,,,,
0.0088,278.19904,,,,,
0.00883,278.66675,,,,,
0.00886,278.97855,,,,,
0.00894,279.05651,,,,,
0.00896,279.2124,,,,,
0.009,279.05651,,,,,
0.00904,279.29038,,,,,
0.0091,279.52423,,,,,
0.00914,279.52423,,,,,
0.00917,279.99192,,,,,
0.00921,279.60216,,,,,
0.00926,279.60216,,,,,
0.0093,279.83601,,,,,
0.00933,279.83601,,,,,
0.00937,279.75807,,,,,
0.00944,280.14785,,,,,
0.00946,279.99192,,,,,
0.00949,280.30374,,,,,
0.00956,280.14785,,,,,
0.00961,280.3817,,,,,
0.00962,280.69348,,,,,
0.00968,280.45963,,,,,
0.00973,280.61554,,,,,
0.00977,281.23917,,,,,
0.0098,281.00533,,,,,
0.00985,281.16122,,,,,
0.0099,281.00533,,,,,
0.00996,281.70686,,,,,
0.00999,281.55095,,,,,
0.01002,281.86278,,,,,
0.01008,281.78484,,,,,
0.01012,281.86278,,,,,
0.01015,282.17458,,,,,
0.01018,282.09662,,,,,
0.01026,282.79821,,,,,
0.01028,282.09662,,,,,
0.01032,282.64232,,,,,
0.01037,282.40842,,,,,
0.01039,282.64232,,,,,
0.01045,282.64232,,,,,
0.01048,282.87616,,,,,
0.01054,282.64232,,,,,
0.01057,282.87616,,,,,
0.01061,283.03205,,,,,
0.01065,283.03205,,,,,
0.01071,283.42179,,,,,
0.01075,283.2659,,,,,
0.01079,283.03205,,,,,
0.01081,283.42179,,,,,
0.01087,283.49979,,,,,
0.01092,283.96748,,,,,
0.01095,283.73363,,,,,
0.01099,283.57772,,,,,
0.01105,284.27928,,,,,
0.01109,284.27928,,,,,
0.01111,284.35726,,,,,
0.01118,284.4352,,,,,
0.01121,284.74697,,,,,
0.01125,284.59111,,,,,
0.01129,285.29267,,,,,
0.01134,284.98082,,,,,
0.01139,284.82495,,,,,
0.01141,285.0588,,,,,
0.01145,284.98082,,,,,
0.01151,285.3706,,,,,
0.01155,285.44856,,,,,
0.01158,285.60445,,,,,
0.01164,285.3706,,,,,
0.01168,285.68243,,,,,
0.01173,285.68243,,,,,
0.01175,285.99423,,,,,
0.01178,286.15014,,,,,
0.01184,285.76036,,,,,
0.01188,285.68243,,,,,
0.01192,286.22808,,,,,
0.01198,285.83832,,,,,
0.01201,286.22808,,,,,
0.01205,286.30603,,,,,
0.01209,286.53988,,,,,
0.01215,286.46192,,,,,
0.0122,286.8517,,,,,
0.01223,286.92966,,,,,
0.01228,287.00759,,,,,
0.01232,286.69579,,,,,
0.01236,287.1635,,,,,
0.0124,287.08555,,,,,
0.01244,287.39735,,,,,
0.0125,287.39735,,,,,
0.01254,287.47531,,,,,
0.01257,288.02098,,,,,
0.0126,287.94302,,,,,
0.01266,288.17687,,,,,
0.0127,287.94302,,,,,
0.01274,288.17687,,,,,
0.01278,287.94302,,,,,
0.01282,288.17687,,,,,
0.01286,288.09891,,,,,
0.01289,288.17687,,,,,
0.01294,288.41074,,,,,
0.013,288.6446,,,,,
0.01303,288.33276,,,,,
0.01307,288.87845,,,,,
0.0131,288.41074,,,,,
0.01316,288.72254,,,,,
0.01319,288.48869,,,,,
0.01323,288.95638,,,,,
0.01329,288.80047,,,,,
0.01331,289.19023,,,,,
0.01338,289.26821,,,,,
0.01341,289.26821,,,,,
