strain,stress,temp,type,title,medium,strain_rate
0,0,20,tensile,D5,Air,0.389506436
1.97E-06,17.07003359,,,,,
1.97E-06,17.11003367,,,,,
3.00E-05,23.4707041,,,,,
3.20E-05,23.90076406,,,,,
3.40E-05,24.370828,,,,,
3.60E-05,24.78089168,,,,,
3.70E-05,25.21093199,,,,,
3.90E-05,25.62099857,,,,,
4.10E-05,26.03106681,,,,,
4.30E-05,26.471138,,,,,
4.50E-05,26.89121005,,,,,
4.70E-05,27.31128379,,,,,
4.90E-05,27.75136019,,,,,
5.10E-05,28.20143775,,,,,
5.30E-05,28.65151822,,,,,
5.60E-05,29.07162745,,,,,
5.60E-05,29.50165153,,,,,
5.80E-05,29.92173512,,,,,
6.10E-05,30.35185086,,,,,
6.20E-05,30.79190923,,,,,
6.40E-05,31.2019973,,,,,
6.60E-05,31.66208905,,,,,
6.80E-05,32.1221839,,,,,
7.00E-05,32.5322771,,,,,
7.20E-05,32.9723741,,,,,
7.40E-05,33.41247287,,,,,
7.60E-05,33.84257265,,,,,
7.80E-05,34.28267357,,,,,
7.90E-05,34.72274344,,,,,
8.10E-05,35.1628488,,,,,
8.40E-05,35.62299265,,,,,
8.50E-05,36.09306765,,,,,
8.80E-05,36.53321435,,,,,
8.90E-05,36.97329092,,,,,
9.10E-05,37.45340885,,,,,
9.30E-05,37.89352347,,,,,
9.50E-05,38.3236404,,,,,
9.70E-05,38.79376294,,,,,
9.90E-05,39.2338844,,,,,
0.000101015,39.67400746,,,,,
0.000102985,40.18413814,,,,,
0.000106014,40.63430759,,,,,
0.000106014,41.0843553,,,,,
0.000109014,41.55452978,,,,,
0.000111014,42.01466395,,,,,
0.000112984,42.45479643,,,,,
0.000114993,42.91493465,,,,,
0.000117003,43.36507355,,,,,
0.000117983,43.80516796,,,,,
0.000121013,44.3153624,,,,,
0.000122982,44.7555038,,,,,
0.000124992,45.21565125,,,,,
0.000127002,45.67580055,,,,,
0.000129012,46.14595298,,,,,
0.000131011,46.60610553,,,,,
0.000132981,47.05625718,,,,,
0.000134991,47.45640575,,,,,
0.000137001,47.92656552,,,,,
0.00013798,48.44668424,,,,,
0.00014101,48.9268987,,,,,
0.00014298,49.34705513,,,,,
0.000144989,49.83722535,,,,,
0.000146009,50.27734043,,,,,
0.000149009,50.76756426,,,,,
0.000151998,51.20778291,,,,,
0.000152978,51.68790652,,,,,
0.000154988,52.15808325,,,,,
0.000156998,52.65826658,,,,,
0.000159987,53.1485024,,,,,
0.000161997,53.6386886,,,,,
0.000164007,54.09887184,,,,,
0.000166006,54.56905805,,,,,
0.000169006,55.05930455,,,,,
0.000169986,55.5494418,,,,,
0.000172975,56.01968917,,,,,
0.000174005,56.49983039,,,,,
0.000176005,57.03003666,,,,,
0.000179004,57.49029007,,,,,
0.000181004,57.96049011,,,,,
0.000182973,58.44069211,,,,,
0.000184983,58.9309002,,,,,
0.000187972,59.42116849,,,,,
0.000189002,59.90132041,,,,,
0.000191992,60.38159164,,,,,
0.000194001,60.85180418,,,,,
0.000196001,61.32201799,,,,,
0.00019797,61.88224964,,,,,
0.00019998,62.352468,,,,,
0.00020199,62.82268825,,,,,
0.000204979,63.3129765,,,,,
0.000206989,63.80320517,,,,,
0.000208998,64.27343163,,,,,
0.000209978,64.7535954,,,,,
0.000213997,65.25396266,,,,,
0.000215997,65.7942098,,,,,
0.000217966,66.2844462,,,,,
0.000220996,66.7747553,,,,,
0.000223005,67.26499877,,,,,
0.000224975,67.74523925,,,,,
0.000226984,68.23548662,,,,,
0.000229974,68.7258033,,,,,
0.000231983,69.23605973,,,,,
0.000233993,69.72631353,,,,,
0.000236982,70.25664758,,,,,
0.000238991,70.73690349,,,,,
0.000240991,71.23716544,,,,,
0.00024399,71.89754016,,,,,
0.00024599,72.40780939,,,,,
0.000248989,72.89814858,,,,,
0.000250988,73.39841985,,,,,
0.000252998,73.90869639,,,,,
0.000255987,74.39904277,,,,,
0.000258986,74.89939542,,,,,
0.000259966,75.3995988,,,,,
0.000263985,75.91003648,,,,,
0.000265985,76.41032127,,,,,
0.000267994,76.92061151,,,,,
0.000269964,77.420898,,,,,
0.000272993,77.99128815,,,,,
0.000274962,78.501582,,,,,
0.000276972,78.99187548,,,,,
0.000280981,79.52234109,,,,,
0.00028197,80.03256362,,,,,
0.000284959,80.55295105,,,,,
0.000287989,81.08334771,,,,,
0.000289958,81.6036582,,,,,
0.000291967,82.1139711,,,,,
0.000294956,82.61436405,,,,,
0.000296966,83.12468153,,,,,
0.000299955,83.62508,,,,,
0.000301964,84.14540508,,,,,
0.000304953,84.63580605,,,,,
0.000307983,85.17622875,,,,,
0.000309952,85.6965577,,,,,
0.000311961,86.1968859,,,,,
0.00031495,86.7873294,,,,,
0.000317979,87.2877513,,,,,
0.000319949,87.8080896,,,,,
0.000321958,88.32843348,,,,,
0.000324947,88.81885675,,,,,
0.000326957,89.38922161,,,,,
0.000329946,89.9096604,,,,,
0.000332975,90.45011257,,,,,
0.000334944,90.94045485,,,,,
0.000336953,91.44080608,,,,,
0.000339942,91.9612562,,,,,
0.000341952,92.4716154,,,,,
0.00034596,93.00216948,,,,,
0.000347969,93.51253384,,,,,
0.000349939,94.0329,,,,,
0.000352968,94.5533684,,,,,
0.000355957,95.09384326,,,,,
0.000357966,95.65423483,,,,,
0.000360955,96.05466514,,,,,
0.000363954,96.58514613,,,,,
