strain,stress,temp,type,title,medium,strain_rate,youngs,poissons
0,0,800,tensile,D7,Air,0.364289891,157000,0.3
-0.000118587,20.57755962,,,,,,,
-0.000117107,20.82756081,,,,,,,
-0.000116377,21.0175539,,,,,,,
-0.000116377,21.25752597,,,,,,,
-0.000114887,21.50752893,,,,,,,
-0.000114157,21.69752295,,,,,,,
-0.000113396,21.98750655,,,,,,,
-0.000111936,22.23751068,,,,,,,
-0.000110446,22.45751952,,,,,,,
-0.000109686,22.71750807,,,,,,,
-0.000108966,22.91750264,,,,,,,
-0.000108236,23.15749339,,,,,,,
-0.000106746,23.39750228,,,,,,,
-0.000105986,23.61749675,,,,,,,
-0.000104525,23.88750302,,,,,,,
-0.000100815,24.77750193,,,,,,,
-0.000100065,25.0174965,,,,,,,
-9.78E-05,25.31752269,,,,,,,
-9.71E-05,25.5675169,,,,,,,
-9.56E-05,25.82753014,,,,,,,
-9.41E-05,26.05754697,,,,,,,
-9.34E-05,26.32754078,,,,,,,
-9.19E-05,26.56755795,,,,,,,
-9.04E-05,26.83757286,,,,,,,
-8.89E-05,27.09758973,,,,,,,
-8.82E-05,27.34758746,,,,,,,
-8.60E-05,27.59762668,,,,,,,
-8.45E-05,27.86764499,,,,,,,
-8.37E-05,28.10764607,,,,,,,
-8.30E-05,28.37764389,,,,,,,
-8.15E-05,28.64766417,,,,,,,
-7.93E-05,28.93770477,,,,,,,
-7.71E-05,29.18774971,,,,,,,
-7.56E-05,29.43777425,,,,,,,
-7.34E-05,29.72781823,,,,,,,
-7.19E-05,30.0278409,,,,,,,
-7.04E-05,30.26786872,,,,,,,
-6.82E-05,30.54791673,,,,,,,
-6.67E-05,30.83794285,,,,,,,
-6.45E-05,31.10799384,,,,,,,
-6.38E-05,31.38799867,,,,,,,
-6.15E-05,31.69805013,,,,,,,
-5.93E-05,31.94810562,,,,,,,
-5.78E-05,32.24813582,,,,,,,
-5.63E-05,32.51816766,,,,,,,
-5.49E-05,32.80820014,,,,,,,
-5.41E-05,33.0882099,,,,,,,
-5.26E-05,33.38824335,,,,,,,
-5.12E-05,33.65827826,,,,,,,
-4.89E-05,33.95833922,,,,,,,
-4.67E-05,34.27839957,,,,,,,
-4.52E-05,34.56843747,,,,,,,
-4.37E-05,34.84847566,,,,,,,
-4.15E-05,35.14854152,,,,,,,
