title,temperature,stress,mcr,strain_tf,time_tf,oxidation
G32,800.0,60.0,8.076334612087714e-09,0.328,6949.7,None
G47,800.0,60.0,4.690148087441656e-09,0.322,11046.0,None
G33,800.0,65.0,1.4206375448902247e-08,0.39,4404.1,None
G43,800.0,65.0,1.247629458836225e-08,0.394,4896.1,None
G24,800.0,70.0,2.2895550369793724e-08,0.431,2737.9,None
G44,800.0,70.0,2.514813615801712e-08,0.468,2750.7,None
G25,800.0,80.0,6.48474325876067e-08,0.518,1208.1,None
G34,800.0,80.0,6.672831883509804e-08,0.366,1084.2,None
G42,900.0,26.0,5.253397637366351e-09,0.277,7567.3,5625.0
G59,900.0,26.0,2.384975926418847e-09,0.349,7983.8,5969.4
G40,900.0,28.0,8.446992425997377e-09,0.308,4731.2,4647.2
G45,900.0,28.0,9.706546882430073e-10,0.231,3781.8,None
G21,900.0,31.0,1.0156710605541012e-08,0.225,2960.0,None
G50,900.0,31.0,1.501582282829257e-08,0.277,2846.1,None
G19,900.0,36.0,3.9982903261129055e-08,0.0631,276.37,None
G22,900.0,36.0,3.421712492206777e-08,0.293,1380.4,None
G63,900.0,36.0,3.4211871374851934e-08,0.276,1373.4,None
G39,1000.0,11.0,3.9149276228394095e-09,0.565,18923.0,5725.0
G48,1000.0,12.0,2.3692524102418284e-09,0.641,16696.0,5388.9
G52,1000.0,12.0,1.3184452519942244e-09,0.635,14514.0,5711.1
G30,1000.0,13.0,7.520565077239484e-09,0.535,8768.1,5138.9
G51,1000.0,13.0,4.945953084620715e-09,0.36,6418.5,4194.4
G18,1000.0,16.0,1.9080937168067576e-08,0.462,3034.1,2483.3
G38,1000.0,16.0,4.284522808677184e-09,0.491,3365.4,2500.0
