time,strain,temperature,stress,type,title,youngs,poissons
0.0,0.0,900.0,26.0,creep,G59,149000.0,0.3
0.0,-1.3e-05,,,,,,
2592.0,0.000583,,,,,,
7272.0,0.000762,,,,,,
11844.0,0.00089,,,,,,
15264.0,0.000976,,,,,,
17424.0,0.001023,,,,,,
21096.0,0.001095,,,,,,
25344.0,0.001184,,,,,,
27972.0,0.001231,,,,,,
32076.0,0.001305,,,,,,
34596.0,0.00134,,,,,,
36396.0,0.001376,,,,,,
39348.0,0.001424,,,,,,
41940.0,0.001464,,,,,,
44748.0,0.001522,,,,,,
46908.0,0.001558,,,,,,
48888.0,0.001594,,,,,,
50868.0,0.001622,,,,,,
54648.0,0.001682,,,,,,
56628.0,0.001714,,,,,,
58752.0,0.00175,,,,,,
60840.0,0.00178,,,,,,
63720.0,0.001816,,,,,,
68472.0,0.001893,,,,,,
71604.0,0.001928,,,,,,
73476.0,0.001936,,,,,,
75852.0,0.002004,,,,,,
77652.0,0.002024,,,,,,
82188.0,0.00208,,,,,,
83988.0,0.002111,,,,,,
87444.0,0.002162,,,,,,
90108.0,0.002199,,,,,,
92376.0,0.002233,,,,,,
96336.0,0.0023,,,,,,
100800.0,0.002376,,,,,,
103356.0,0.002413,,,,,,
105732.0,0.002448,,,,,,
108288.0,0.002486,,,,,,
111600.0,0.002535,,,,,,
113940.0,0.002575,,,,,,
117972.0,0.002639,,,,,,
120744.0,0.00268,,,,,,
125172.0,0.00273,,,,,,
127404.0,0.002742,,,,,,
131472.0,0.00282,,,,,,
134244.0,0.002846,,,,,,
136224.0,0.0029,,,,,,
140256.0,0.002961,,,,,,
142056.0,0.002992,,,,,,
146556.0,0.00305,,,,,,
149400.0,0.003094,,,,,,
151668.0,0.003119,,,,,,
154980.0,0.003177,,,,,,
158400.0,0.003232,,,,,,
161640.0,0.003278,,,,,,
165528.0,0.003327,,,,,,
169092.0,0.003381,,,,,,
171504.0,0.003422,,,,,,
174744.0,0.003466,,,,,,
177840.0,0.003522,,,,,,
182664.0,0.003597,,,,,,
185076.0,0.00363,,,,,,
187056.0,0.003653,,,,,,
191916.0,0.003726,,,,,,
195948.0,0.003789,,,,,,
197748.0,0.003822,,,,,,
200196.0,0.003863,,,,,,
202968.0,0.003898,,,,,,
206928.0,0.003977,,,,,,
208836.0,0.004012,,,,,,
212688.0,0.004065,,,,,,
216720.0,0.004125,,,,,,
220248.0,0.00418,,,,,,
224064.0,0.004244,,,,,,
226692.0,0.00427,,,,,,
230832.0,0.004356,,,,,,
234504.0,0.004406,,,,,,
236736.0,0.00443,,,,,,
240624.0,0.004505,,,,,,
243216.0,0.004546,,,,,,
245664.0,0.004584,,,,,,
247788.0,0.004624,,,,,,
249984.0,0.004673,,,,,,
252936.0,0.00471,,,,,,
254988.0,0.004743,,,,,,
256860.0,0.004759,,,,,,
260640.0,0.00481,,,,,,
263088.0,0.004862,,,,,,
267948.0,0.004927,,,,,,
271332.0,0.004989,,,,,,
275292.0,0.005043,,,,,,
277272.0,0.005061,,,,,,
279072.0,0.005106,,,,,,
282132.0,0.005154,,,,,,
288252.0,0.005249,,,,,,
291204.0,0.005299,,,,,,
294264.0,0.005336,,,,,,
296172.0,0.005386,,,,,,
300816.0,0.005431,,,,,,
304776.0,0.005495,,,,,,
307368.0,0.005522,,,,,,
309528.0,0.00557,,,,,,
312228.0,0.0056,,,,,,
315828.0,0.005657,,,,,,
318420.0,0.005675,,,,,,
322308.0,0.00575,,,,,,
326592.0,0.00581,,,,,,
331524.0,0.005892,,,,,,
335772.0,0.005963,,,,,,
338544.0,0.006004,,,,,,
340704.0,0.006022,,,,,,
343332.0,0.006073,,,,,,
347112.0,0.006114,,,,,,
350604.0,0.006169,,,,,,
353808.0,0.006221,,,,,,
357516.0,0.006275,,,,,,
361404.0,0.006335,,,,,,
364608.0,0.006378,,,,,,
366696.0,0.006419,,,,,,
368820.0,0.006435,,,,,,
370836.0,0.006475,,,,,,
373428.0,0.006513,,,,,,
375912.0,0.006548,,,,,,
377892.0,0.006583,,,,,,
381672.0,0.006631,,,,,,
385452.0,0.006692,,,,,,
388980.0,0.006749,,,,,,
391392.0,0.00676,,,,,,
391572.0,0.006773,,,,,,
394812.0,0.006895,,,,,,
399852.0,0.007087,,,,,,
402912.0,0.00714,,,,,,
406764.0,0.00721,,,,,,
411264.0,0.00726,,,,,,
413604.0,0.007306,,,,,,
421380.0,0.007405,,,,,,
423180.0,0.007442,,,,,,
428616.0,0.007505,,,,,,
430560.0,0.007544,,,,,,
433620.0,0.007589,,,,,,
439632.0,0.007676,,,,,,
442440.0,0.00773,,,,,,
446580.0,0.007789,,,,,,
450720.0,0.007838,,,,,,
453204.0,0.007881,,,,,,
456696.0,0.007933,,,,,,
459252.0,0.007947,,,,,,
461376.0,0.007994,,,,,,
466884.0,0.008066,,,,,,
468828.0,0.008087,,,,,,
471204.0,0.008127,,,,,,
474768.0,0.008181,,,,,,
480276.0,0.008258,,,,,,
483408.0,0.008303,,,,,,
485820.0,0.008349,,,,,,
488016.0,0.008361,,,,,,
489960.0,0.008399,,,,,,
496008.0,0.008474,,,,,,
502272.0,0.008556,,,,,,
507672.0,0.008628,,,,,,
510084.0,0.008674,,,,,,
513936.0,0.008711,,,,,,
519156.0,0.008792,,,,,,
521244.0,0.008828,,,,,,
523332.0,0.008847,,,,,,
525708.0,0.008889,,,,,,
527688.0,0.00891,,,,,,
530208.0,0.008951,,,,,,
533916.0,0.009002,,,,,,
536040.0,0.00902,,,,,,
539100.0,0.009059,,,,,,
542016.0,0.009092,,,,,,
546048.0,0.009132,,,,,,
550008.0,0.009203,,,,,,
553968.0,0.009257,,,,,,
556848.0,0.00929,,,,,,
560700.0,0.009365,,,,,,
563724.0,0.009397,,,,,,
566352.0,0.009435,,,,,,
568620.0,0.009455,,,,,,
570852.0,0.009479,,,,,,
572832.0,0.009514,,,,,,
580572.0,0.009606,,,,,,
582696.0,0.009632,,,,,,
585396.0,0.009675,,,,,,
587808.0,0.009699,,,,,,
591264.0,0.009744,,,,,,
594936.0,0.009801,,,,,,
597816.0,0.009836,,,,,,
600228.0,0.009859,,,,,,
602316.0,0.009883,,,,,,
604692.0,0.009926,,,,,,
608040.0,0.009957,,,,,,
611172.0,0.01,,,,,,
613152.0,0.010034,,,,,,
617400.0,0.010084,,,,,,
620172.0,0.010124,,,,,,
624564.0,0.010179,,,,,,
626544.0,0.01021,,,,,,
629496.0,0.010245,,,,,,
632412.0,0.01028,,,,,,
635544.0,0.010313,,,,,,
637416.0,0.01034,,,,,,
642204.0,0.010403,,,,,,
644004.0,0.010425,,,,,,
647028.0,0.010461,,,,,,
651348.0,0.010514,,,,,,
653148.0,0.010536,,,,,,
655848.0,0.010571,,,,,,
659160.0,0.0106,,,,,,
661356.0,0.010646,,,,,,
