time,strain,temp,stress,type,state,form,process,medium,title,youngs,poissons
0,0,750,137,creep,Ruptured,Plate,Base,Air,AirBase_750_137_a,161000,0.3
0,0,,,,,,,,,,
0.031,3.00E-05,,,,,,,,,,
0.035,0.00019,,,,,,,,,,
0.04,0.00019,,,,,,,,,,
0.044,0.00038,,,,,,,,,,
0.048,0.0004,,,,,,,,,,
0.053,0.00036,,,,,,,,,,
0.057,0.00038,,,,,,,,,,
0.062,0.00035,,,,,,,,,,
0.066,0.00044,,,,,,,,,,
0.07,0.00042,,,,,,,,,,
0.075,0.00057,,,,,,,,,,
0.079,0.00054,,,,,,,,,,
0.083,0.00049,,,,,,,,,,
0.088,0.00054,,,,,,,,,,
0.092,0.00062,,,,,,,,,,
0.097,0.00065,,,,,,,,,,
0.101,0.00075,,,,,,,,,,
0.105,0.00048,,,,,,,,,,
0.11,0.0007,,,,,,,,,,
0.114,0.00067,,,,,,,,,,
0.119,0.00088,,,,,,,,,,
0.123,0.0008,,,,,,,,,,
0.127,0.0008,,,,,,,,,,
0.132,0.00078,,,,,,,,,,
0.136,0.00082,,,,,,,,,,
0.141,0.0008,,,,,,,,,,
0.145,0.00069,,,,,,,,,,
0.149,0.00089,,,,,,,,,,
0.154,0.00078,,,,,,,,,,
0.158,0.00092,,,,,,,,,,
0.163,0.00097,,,,,,,,,,
0.167,0.0009,,,,,,,,,,
0.171,0.00082,,,,,,,,,,
0.176,0.00084,,,,,,,,,,
0.18,0.00092,,,,,,,,,,
0.185,0.00092,,,,,,,,,,
0.189,0.00089,,,,,,,,,,
0.193,0.00084,,,,,,,,,,
0.198,0.00098,,,,,,,,,,
0.202,0.00094,,,,,,,,,,
0.207,0.00079,,,,,,,,,,
0.211,0.0009,,,,,,,,,,
0.215,0.0009,,,,,,,,,,
0.22,0.00094,,,,,,,,,,
0.224,0.00098,,,,,,,,,,
0.229,0.00092,,,,,,,,,,
0.233,0.00101,,,,,,,,,,
0.237,0.00093,,,,,,,,,,
0.242,0.00088,,,,,,,,,,
0.246,0.00087,,,,,,,,,,
0.25,0.00104,,,,,,,,,,
0.25,0.00103,,,,,,,,,,
2.25,0.00205,,,,,,,,,,
4.25,0.00285,,,,,,,,,,
6.25,0.00309,,,,,,,,,,
8,0.00339,,,,,,,,,,
10,0.00465,,,,,,,,,,
12,0.00501,,,,,,,,,,
14,0.00531,,,,,,,,,,
14.645,0.00563,,,,,,,,,,
16.645,0.00582,,,,,,,,,,
18.645,0.00588,,,,,,,,,,
20.645,0.00621,,,,,,,,,,
22.645,0.00634,,,,,,,,,,
24.645,0.00651,,,,,,,,,,
26.645,0.00682,,,,,,,,,,
28.645,0.00691,,,,,,,,,,
30.645,0.00717,,,,,,,,,,
32.645,0.00736,,,,,,,,,,
34.645,0.00742,,,,,,,,,,
36.645,0.00771,,,,,,,,,,
38.645,0.00771,,,,,,,,,,
40.645,0.00796,,,,,,,,,,
42.645,0.00819,,,,,,,,,,
44.645,0.00818,,,,,,,,,,
46.645,0.00849,,,,,,,,,,
48.645,0.00867,,,,,,,,,,
50.645,0.00878,,,,,,,,,,
52.645,0.00898,,,,,,,,,,
54.645,0.00911,,,,,,,,,,
56.645,0.00925,,,,,,,,,,
58.645,0.00952,,,,,,,,,,
60.645,0.00948,,,,,,,,,,
62.645,0.00971,,,,,,,,,,
64.645,0.00989,,,,,,,,,,
66.645,0.01002,,,,,,,,,,
68.645,0.01019,,,,,,,,,,
70.645,0.01038,,,,,,,,,,
72.127,0.01039,,,,,,,,,,
74.127,0.0094,,,,,,,,,,
76.127,0.00906,,,,,,,,,,
78.127,0.00913,,,,,,,,,,
80.127,0.00935,,,,,,,,,,
82.127,0.00981,,,,,,,,,,
84.127,0.00984,,,,,,,,,,
86.127,0.01,,,,,,,,,,
88.127,0.01033,,,,,,,,,,
90.127,0.0103,,,,,,,,,,
92.127,0.01043,,,,,,,,,,
94.127,0.0106,,,,,,,,,,
96.127,0.01068,,,,,,,,,,
98.127,0.01111,,,,,,,,,,
100.13,0.01105,,,,,,,,,,
102.13,0.01108,,,,,,,,,,
104.13,0.01134,,,,,,,,,,
106.13,0.01142,,,,,,,,,,
108.13,0.01143,,,,,,,,,,
110.13,0.01172,,,,,,,,,,
112.13,0.01191,,,,,,,,,,
114.13,0.01191,,,,,,,,,,
116.13,0.01215,,,,,,,,,,
118.13,0.01203,,,,,,,,,,
120.01,0.01215,,,,,,,,,,
122.01,0.01222,,,,,,,,,,
124.01,0.01211,,,,,,,,,,
126.01,0.01246,,,,,,,,,,
128.01,0.0128,,,,,,,,,,
130.01,0.0128,,,,,,,,,,
132.01,0.01288,,,,,,,,,,
134.01,0.01289,,,,,,,,,,
136.01,0.01314,,,,,,,,,,
138.01,0.01344,,,,,,,,,,
140.01,0.01335,,,,,,,,,,
142.01,0.01344,,,,,,,,,,
144.01,0.01355,,,,,,,,,,
146.01,0.01373,,,,,,,,,,
148.01,0.01367,,,,,,,,,,
150.01,0.01396,,,,,,,,,,
152.01,0.01386,,,,,,,,,,
154.01,0.01438,,,,,,,,,,
156.01,0.01433,,,,,,,,,,
158.01,0.01432,,,,,,,,,,
160.01,0.01443,,,,,,,,,,
162.01,0.01452,,,,,,,,,,
164.01,0.01467,,,,,,,,,,
166.01,0.01474,,,,,,,,,,
168.01,0.0148,,,,,,,,,,
170.01,0.01485,,,,,,,,,,
172.01,0.01505,,,,,,,,,,
174.01,0.01506,,,,,,,,,,
176.01,0.01515,,,,,,,,,,
178.01,0.01529,,,,,,,,,,
180.01,0.01553,,,,,,,,,,
182.01,0.01568,,,,,,,,,,
184.01,0.01577,,,,,,,,,,
186.01,0.01574,,,,,,,,,,
188.01,0.01575,,,,,,,,,,
190.01,0.01613,,,,,,,,,,
192.01,0.01608,,,,,,,,,,
194.01,0.01609,,,,,,,,,,
196.01,0.0162,,,,,,,,,,
198.01,0.01638,,,,,,,,,,
200.01,0.01643,,,,,,,,,,
202.01,0.01648,,,,,,,,,,
204.01,0.01662,,,,,,,,,,
206.01,0.01666,,,,,,,,,,
208.01,0.01691,,,,,,,,,,
210.01,0.01695,,,,,,,,,,
