time,strain,stress,temperature,type,medium,strain_rate,youngs,poisson
7.442,0,0.015107,25,tensile,air,0.01,211000,0.3
7.504,0,4.967469526,,,,,,
7.63,9.78E-05,57.47306696,,,,,,
7.693,0.000189344,83.99357704,,,,,,
7.819,0.000438451,136.0122974,,,,,,
7.882,0.000540203,159.6300656,,,,,,
8.007,0.000901706,208.301189,,,,,,
8.069,0.001044225,229.8798385,,,,,,
8.205,0.001530843,279.3255344,,,,,,
8.268,0.001754165,299.0762708,,,,,,
8.398,0.002259071,340.3565324,,,,,,
8.528,0.002843416,377.5214011,,,,,,
8.591,0.003128105,394.081626,,,,,,
8.716,0.003761323,426.2435606,,,,,,
8.779,0.004093206,440.3078498,,,,,,
8.907,0.00488284,466.6056681,,,,,,
8.97,0.005235202,477.1020438,,,,,,
9.095,0.006152426,496.5426034,,,,,,
9.157,0.006608444,503.9342342,,,,,,
9.282,0.007590765,517.3411174,,,,,,
9.345,0.008161087,523.4625605,,,,,,
9.471,0.00916663,533.1174295,,,,,,
9.596,0.010289553,541.2965543,,,,,,
9.659,0.010814063,544.9027927,,,,,,
9.784,0.011880195,551.0899538,,,,,,
9.846,0.012501124,554.3519043,,,,,,
9.971,0.013581492,559.7327739,,,,,,
10.034,0.014131097,561.88502,,,,,,
10.159,0.015306911,566.9139783,,,,,,
10.221,0.015814276,568.827635,,,,,,
10.346,0.01695788,573.0164279,,,,,,
10.409,0.017509296,574.9787649,,,,,,
10.534,0.018578021,578.2745392,,,,,,
10.66,0.019814222,582.1706693,,,,,,
10.722,0.020328584,583.5816994,,,,,,
10.847,0.021564321,587.3941449,,,,,,
10.91,0.022171405,588.6586215,,,,,,
11.035,0.023414086,591.9652408,,,,,,
11.106,0.024099844,593.7378377,,,,,,
11.231,0.025261273,596.5023,,,,,,
11.294,0.025860408,598.0406045,,,,,,
11.419,0.027108714,600.7899909,,,,,,
11.481,0.027708045,602.2588199,,,,,,
11.606,0.028996791,605.1527816,,,,,,
11.731,0.030154216,607.7870864,,,,,,
11.794,0.030710791,609.0823354,,,,,,
11.928,0.032040875,611.9234116,,,,,,
11.99,0.032595162,613.2929446,,,,,,
12.115,0.033842812,615.6282182,,,,,,
12.189,0.0344805,617.2565856,,,,,,
12.314,0.035597588,619.3442841,,,,,,
12.376,0.036278449,620.9517783,,,,,,
12.502,0.037392664,623.0949885,,,,,,
12.575,0.038161471,624.66989,,,,,,
12.7,0.0393126,627.148184,,,,,,
12.825,0.040550302,629.5991121,,,,,,
12.887,0.04114546,630.8731285,,,,,,
13.012,0.042302627,632.7540681,,,,,,
13.075,0.042982864,634.2035542,,,,,,
13.2,0.044091834,636.2383013,,,,,,
13.262,0.044643519,637.3370864,,,,,,
13.387,0.045876321,639.7637761,,,,,,
13.45,0.046430005,640.746772,,,,,,
13.575,0.047658411,643.2517536,,,,,,
13.637,0.048213976,644.0682625,,,,,,
13.762,0.04931298,646.3074847,,,,,,
13.887,0.050545603,648.4200331,,,,,,
13.95,0.051094614,649.5332911,,,,,,
14.075,0.05227594,651.8893032,,,,,,
14.137,0.052828575,652.7331613,,,,,,
14.262,0.053922163,655.0642511,,,,,,
14.325,0.054558805,656.0409162,,,,,,
14.451,0.055652912,658.2331728,,,,,,
14.514,0.056201265,659.2257874,,,,,,
14.639,0.057424304,661.3682406,,,,,,
14.711,0.058054144,662.6245851,,,,,,
14.836,0.059193848,664.4329976,,,,,,
14.961,0.060239652,666.6055423,,,,,,
15.023,0.060787742,667.4682603,,,,,,
15.148,0.061959586,669.7955434,,,,,,
15.211,0.062506534,670.6724693,,,,,,
