time,strain,stress,temperature,type,medium,strain_rate,youngs,poissons
0.00047333,0.0,1.0409,25,tensile,air,3.6,211000,0.3
0.00070444,0.00014563,40.939,,,,,,
0.00095639,0.00028421,76.984,,,,,,
0.0012025,0.00039181,110.28,,,,,,
0.0014489,0.00058025,144.11,,,,,,
0.001675,0.00076231,171.9,,,,,,
0.0019183,0.00097027,202.81,,,,,,
0.0021633,0.0012123,232.12,,,,,,
0.0024067,0.0014675,258.77,,,,,,
0.0026422,0.0017346,284.87,,,,,,
0.0028728,0.0020198,307.96,,,,,,
0.0031219,0.0024203,332.19,,,,,,
0.0033686,0.0028343,353.59,,,,,,
0.0035978,0.0032512,370.59,,,,,,
0.0038436,0.0037701,387.12,,,,,,
0.0040894,0.0043588,400.3,,,,,,
0.0043361,0.0050206,410.05,,,,,,
0.0045647,0.005662,418.58,,,,,,
0.0048136,0.0064301,425.41,,,,,,
0.0050594,0.007169,431.46,,,,,,
0.0053111,0.0079387,435.98,,,,,,
0.0055394,0.0086602,440.67,,,,,,
0.0057886,0.0094809,444.91,,,,,,
0.0060403,0.010268,448.53,,,,,,
0.0062892,0.011066,451.65,,,,,,
0.0065456,0.011904,454.97,,,,,,
0.0067742,0.012667,457.48,,,,,,
0.0070161,0.013423,460.37,,,,,,
0.0072647,0.014227,463.09,,,,,,
0.0075139,0.014994,465.35,,,,,,
0.0077469,0.015759,467.68,,,,,,
0.0079989,0.01658,469.52,,,,,,
0.0082564,0.017379,472.33,,,,,,
0.0085114,0.01829,474.04,,,,,,
0.00875,0.019097,476.46,,,,,,
0.0089989,0.019954,478.58,,,,,,
0.0092536,0.020821,480.16,,,,,,
0.009505,0.021712,482.75,,,,,,
0.0097436,0.022585,483.96,,,,,,
0.0099964,0.023436,486.26,,,,,,
0.010243,0.024332,488.46,,,,,,
0.010496,0.025201,489.78,,,,,,
0.010731,0.026008,491.93,,,,,,
0.010986,0.026958,493.56,,,,,,
0.011242,0.027808,495.74,,,,,,
0.011496,0.028713,497.36,,,,,,
0.011748,0.02958,498.56,,,,,,
0.011982,0.030353,500.01,,,,,,
0.012237,0.031206,501.88,,,,,,
0.012494,0.032063,503.5,,,,,,
0.012749,0.032924,504.87,,,,,,
0.012982,0.03374,506.28,,,,,,
0.013234,0.034544,508.23,,,,,,
0.013486,0.035443,509.88,,,,,,
0.01374,0.036298,511.44,,,,,,
0.013977,0.037108,513.03,,,,,,
0.014233,0.03801,514.34,,,,,,
0.014485,0.038901,516.21,,,,,,
0.01474,0.039808,517.23,,,,,,
0.014972,0.040571,518.82,,,,,,
0.015228,0.041419,520.53,,,,,,
0.015487,0.042324,521.52,,,,,,
0.015745,0.04321,523.49,,,,,,
0.015979,0.04401,525.23,,,,,,
0.016234,0.044873,526.05,,,,,,
0.016486,0.045715,527.93,,,,,,
0.016743,0.046576,528.72,,,,,,
0.016978,0.047376,530.38,,,,,,
0.017232,0.048227,531.66,,,,,,
0.017484,0.049071,533.22,,,,,,
0.017736,0.049873,534.72,,,,,,
0.017988,0.05076,536.3,,,,,,
0.018228,0.051523,537.46,,,,,,
0.018475,0.052327,538.7,,,,,,
0.018719,0.053129,540.06,,,,,,
0.018964,0.053928,541.54,,,,,,
0.019198,0.054682,543.04,,,,,,
0.019459,0.055535,543.91,,,,,,
0.019714,0.056372,545.53,,,,,,
0.019961,0.057178,546.53,,,,,,
0.020193,0.057845,547.92,,,,,,
0.020448,0.058684,549.35,,,,,,
0.020702,0.059525,550.69,,,,,,
0.020951,0.060323,551.98,,,,,,
0.021188,0.061131,552.62,,,,,,
0.021441,0.061963,554.36,,,,,,
0.021691,0.062834,556.2,,,,,,
0.021938,0.063679,557.13,,,,,,
0.022171,0.064509,558.81,,,,,,
0.022429,0.065396,559.72,,,,,,
0.022689,0.066267,561.4,,,,,,
0.022941,0.067151,562.38,,,,,,
0.023197,0.068019,564.18,,,,,,
0.023439,0.068858,565.26,,,,,,
0.023697,0.069695,566.33,,,,,,
0.023957,0.070564,567.9,,,,,,
0.024209,0.071439,569.23,,,,,,
0.024446,0.072197,569.82,,,,,,
0.024701,0.073056,571.84,,,,,,
0.024955,0.07389,572.98,,,,,,
0.025212,0.074717,574.34,,,,,,
0.025447,0.075467,575.31,,,,,,
0.025695,0.076252,576.55,,,,,,
0.025942,0.077079,577.92,,,,,,
0.026194,0.077956,578.75,,,,,,
0.026429,0.078694,580.21,,,,,,
0.026687,0.07956,581.61,,,,,,
0.026941,0.080422,583.12,,,,,,
0.027192,0.081252,584.08,,,,,,
0.027429,0.082086,584.84,,,,,,
0.027676,0.082905,586.33,,,,,,
0.027934,0.083723,587.81,,,,,,
0.028191,0.084557,588.41,,,,,,
0.028427,0.085323,590.35,,,,,,
0.028682,0.086192,591.27,,,,,,
0.028935,0.087046,593.0,,,,,,
0.029182,0.087828,593.98,,,,,,
0.029437,0.08869,595.2,,,,,,
0.029667,0.08942,596.68,,,,,,
0.029919,0.090245,597.46,,,,,,
0.03017,0.091024,598.54,,,,,,
0.03042,0.091838,599.91,,,,,,
0.030657,0.092614,600.97,,,,,,
0.030912,0.093419,602.8,,,,,,
0.031167,0.094235,603.98,,,,,,
0.031422,0.095016,604.72,,,,,,
0.031649,0.095737,606.44,,,,,,
0.031892,0.096482,606.81,,,,,,
0.032142,0.097242,608.65,,,,,,
0.032396,0.098053,609.93,,,,,,
0.032625,0.098751,610.46,,,,,,
0.032872,0.099472,612.06,,,,,,
0.033116,0.10021,612.79,,,,,,
0.033366,0.10096,614.67,,,,,,
0.033606,0.10178,615.47,,,,,,
0.033864,0.10259,616.46,,,,,,
0.03411,0.10339,618.34,,,,,,
0.034355,0.1042,619.07,,,,,,
0.034602,0.10501,620.61,,,,,,
0.034832,0.10577,621.62,,,,,,
0.035081,0.10662,622.79,,,,,,
0.035325,0.10743,623.68,,,,,,
0.035574,0.10824,624.53,,,,,,
0.035801,0.10895,626.24,,,,,,
0.036052,0.1098,627.61,,,,,,
0.036304,0.11061,628.11,,,,,,
0.036551,0.11141,629.45,,,,,,
0.03678,0.1122,631.12,,,,,,
0.037026,0.11297,631.87,,,,,,
0.037274,0.11372,633.47,,,,,,
0.037529,0.11453,634.34,,,,,,
0.037768,0.11524,635.58,,,,,,
0.038024,0.11604,637.0,,,,,,
0.038276,0.11684,637.92,,,,,,
0.03853,0.11763,639.4,,,,,,
0.038767,0.11836,639.99,,,,,,
0.039022,0.11915,641.34,,,,,,
0.039284,0.12006,643.11,,,,,,
0.039536,0.12085,644.3,,,,,,
0.039774,0.12161,645.37,,,,,,
0.040028,0.12245,646.33,,,,,,
0.040279,0.12324,647.38,,,,,,
0.040532,0.12403,648.58,,,,,,
0.040779,0.12479,649.63,,,,,,
0.041013,0.12553,651.15,,,,,,
0.041265,0.12636,652.46,,,,,,
0.041512,0.12711,653.55,,,,,,
0.041765,0.1279,654.84,,,,,,
0.042004,0.12861,655.67,,,,,,
0.042258,0.1294,656.69,,,,,,
0.042513,0.13023,658.07,,,,,,
0.042763,0.13097,659.38,,,,,,
0.042992,0.13169,659.98,,,,,,
0.043241,0.13247,661.46,,,,,,
0.0435,0.13321,662.79,,,,,,
0.043756,0.13403,664.2,,,,,,
0.043993,0.13474,664.99,,,,,,
0.044248,0.13548,666.32,,,,,,
0.044503,0.13627,667.14,,,,,,
0.044759,0.13701,668.73,,,,,,
0.044995,0.13774,670.32,,,,,,
0.04525,0.1385,670.57,,,,,,
0.045504,0.13924,671.97,,,,,,
0.045757,0.13998,673.16,,,,,,
0.046003,0.14072,674.13,,,,,,
0.046241,0.14146,675.08,,,,,,
0.046489,0.1422,676.48,,,,,,
0.046744,0.14302,677.71,,,,,,
0.046992,0.14383,678.72,,,,,,
0.047225,0.14454,679.59,,,,,,
0.047478,0.14538,681.33,,,,,,
0.047732,0.14616,682.25,,,,,,
0.047984,0.14697,683.69,,,,,,
0.048213,0.14771,685.06,,,,,,
0.048456,0.14848,685.88,,,,,,
0.048699,0.14925,687.44,,,,,,
0.048948,0.15003,688.1,,,,,,
0.049177,0.15072,689.78,,,,,,
0.04942,0.15149,690.68,,,,,,
0.049664,0.15223,691.45,,,,,,
0.049911,0.153,692.71,,,,,,
0.050137,0.1537,693.59,,,,,,
0.050386,0.15443,694.82,,,,,,
0.050626,0.15515,696.5,,,,,,
0.050873,0.15588,697.24,,,,,,
0.051127,0.15661,698.53,,,,,,
0.051361,0.15738,699.47,,,,,,
0.051616,0.15811,700.79,,,,,,
0.051876,0.15895,702.09,,,,,,
0.052131,0.15975,703.15,,,,,,
0.052363,0.16044,704.52,,,,,,
0.052609,0.16125,704.82,,,,,,
0.052859,0.16197,706.5,,,,,,
0.053106,0.16273,707.84,,,,,,
0.053336,0.16346,708.67,,,,,,
0.053579,0.16415,709.77,,,,,,
0.053826,0.1649,711.28,,,,,,
0.054078,0.16567,712.13,,,,,,
0.054311,0.16634,713.68,,,,,,
0.054566,0.16711,714.45,,,,,,
0.054816,0.16787,715.76,,,,,,
0.055068,0.16862,717.21,,,,,,
0.055306,0.16932,717.45,,,,,,
0.055557,0.17003,719.13,,,,,,
0.055805,0.17079,719.97,,,,,,
0.056066,0.17151,720.87,,,,,,
0.056301,0.17226,722.63,,,,,,
0.056585,0.17306,723.71,,,,,,
0.056851,0.17381,725.22,,,,,,
0.057104,0.17456,726.18,,,,,,
0.057363,0.17528,727.46,,,,,,
0.057592,0.17599,728.88,,,,,,
0.057847,0.17671,729.29,,,,,,
0.058098,0.17742,730.97,,,,,,
0.058346,0.17811,731.08,,,,,,
0.058581,0.17881,732.9,,,,,,
0.058834,0.17956,734.28,,,,,,
0.059088,0.18029,734.41,,,,,,
0.059339,0.18102,736.76,,,,,,
0.059572,0.18174,737.34,,,,,,
0.059827,0.18253,738.35,,,,,,
0.060076,0.18331,740.01,,,,,,
0.060331,0.18407,740.12,,,,,,
0.060563,0.18473,741.97,,,,,,
0.060809,0.18552,742.96,,,,,,
0.061056,0.18622,744.46,,,,,,
0.061303,0.18701,745.54,,,,,,
0.061537,0.18768,746.12,,,,,,
0.061787,0.18842,748.01,,,,,,
0.062033,0.18917,748.68,,,,,,
0.06228,0.18988,749.22,,,,,,
0.062527,0.19058,750.69,,,,,,
0.062756,0.19129,752.05,,,,,,
0.063007,0.192,752.83,,,,,,
0.063254,0.19273,754.29,,,,,,
0.0635,0.19344,755.26,,,,,,
0.063728,0.19407,756.25,,,,,,
0.063974,0.19481,757.07,,,,,,
0.064218,0.1955,758.84,,,,,,
0.064474,0.19631,760.45,,,,,,
0.064704,0.19699,760.9,,,,,,
0.064948,0.19772,762.53,,,,,,
0.065194,0.19849,763.77,,,,,,
0.065442,0.19924,764.31,,,,,,
0.065669,0.19989,765.74,,,,,,
0.065921,0.20063,766.82,,,,,,
0.066169,0.2014,767.8,,,,,,
0.066431,0.20218,768.96,,,,,,
0.066661,0.20284,770.15,,,,,,
0.066913,0.20353,771.31,,,,,,
0.067188,0.20434,772.14,,,,,,
0.067458,0.20511,773.63,,,,,,
0.067693,0.2058,774.9,,,,,,
0.067937,0.2065,775.54,,,,,,
0.06818,0.20719,777.23,,,,,,
0.068427,0.20789,777.99,,,,,,
0.068679,0.20862,779.42,,,,,,
0.068909,0.20927,780.43,,,,,,
0.069152,0.20997,781.27,,,,,,
0.069399,0.21062,782.65,,,,,,
0.069645,0.21131,783.63,,,,,,
0.069881,0.21196,784.83,,,,,,
0.070134,0.21269,785.96,,,,,,
0.070396,0.21342,786.9,,,,,,
0.070643,0.21407,788.55,,,,,,
0.070871,0.21469,789.05,,,,,,
0.071126,0.21541,790.62,,,,,,
0.071377,0.21614,791.59,,,,,,
0.071625,0.21687,792.16,,,,,,
0.071854,0.21751,793.63,,,,,,
0.072097,0.21831,795.23,,,,,,
0.072341,0.21903,796.19,,,,,,
0.072588,0.21972,797.36,,,,,,
0.072831,0.22048,798.13,,,,,,
0.073088,0.22123,799.52,,,,,,
0.07334,0.22199,800.64,,,,,,
0.073601,0.22275,801.63,,,,,,
0.073847,0.22346,803.26,,,,,,
0.074081,0.22418,804.29,,,,,,
0.074338,0.2249,805.39,,,,,,
0.07459,0.22566,806.54,,,,,,
0.074844,0.22638,807.39,,,,,,
0.075071,0.22698,808.76,,,,,,
0.07531,0.22767,809.53,,,,,,
0.075557,0.22834,811.18,,,,,,
0.075807,0.22903,811.69,,,,,,
0.076042,0.22971,812.73,,,,,,
0.076289,0.23035,814.14,,,,,,
0.076539,0.2311,815.36,,,,,,
0.076791,0.23178,815.82,,,,,,
0.077026,0.23249,817.74,,,,,,
0.077281,0.23321,818.33,,,,,,
