time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons
1.7,0.0,1.040863,25.0,tensile,inl_7,Air,0.001,205135.0,0.3
3.443,0.000284,76.98395335,,,,,,,
5.216,0.000580251,144.1095962,,,,,,,
6.906,0.000970267,202.8105556,,,,,,,
8.664,0.001467542,258.77469,,,,,,,
10.342,0.002019807,307.9632762,,,,,,,
12.127,0.00283427,353.5897439,,,,,,,
13.837,0.003770066,387.1196279,,,,,,,
15.61,0.005020624,410.0504977,,,,,,,
17.329,0.006430132,425.4053315,,,,,,,
19.12,0.007938671,435.9788678,,,,,,,
20.839,0.009480937,444.9064442,,,,,,,
22.641,0.011065858,451.6459635,,,,,,,
24.387,0.01266737,457.4832382,,,,,,,
26.153,0.014226659,463.0895585,,,,,,,
27.889,0.015759029,467.6802489,,,,,,,
29.723,0.017379324,472.3328284,,,,,,,
31.5,0.019097182,476.4586655,,,,,,,
33.313,0.020821009,480.1582995,,,,,,,
35.077,0.022585449,483.958288,,,,,,,
36.876,0.024331857,488.4582471,,,,,,,
38.631,0.026007654,491.9299461,,,,,,,
40.472,0.027807628,495.7394109,,,,,,,
42.292,0.029580322,498.5561022,,,,,,,
44.053,0.031205861,501.877366,,,,,,,
45.895,0.032924317,504.8736032,,,,,,,
47.641,0.034544049,508.2304004,,,,,,,
49.464,0.036297604,511.4437795,,,,,,,
51.24,0.038009725,514.3418006,,,,,,,
53.064,0.039807574,517.2302463,,,,,,,
54.82,0.041418937,520.5289306,,,,,,,
56.683,0.043209643,523.4850096,,,,,,,
58.443,0.04487257,526.0501389,,,,,,,
60.276,0.046576105,528.721581,,,,,,,
62.036,0.048226565,531.6553925,,,,,,,
63.851,0.049872966,534.7158539,,,,,,,
65.619,0.051522858,537.4598204,,,,,,,
67.388,0.053128737,540.0647609,,,,,,,
69.111,0.054682036,543.0416581,,,,,,,
70.97,0.056372275,545.5252333,,,,,,,
72.694,0.057844946,547.9242501,,,,,,,
74.527,0.059524786,550.6871256,,,,,,,
76.278,0.061131005,552.6211391,,,,,,,
78.088,0.062833894,556.2013776,,,,,,,
79.815,0.064508571,558.8117127,,,,,,,
81.682,0.066266982,561.40161,,,,,,,
83.511,0.068018846,564.1839865,,,,,,,
85.308,0.069694748,566.3273556,,,,,,,
87.152,0.0714386,569.2311832,,,,,,,
88.923,0.07305632,571.838083,,,,,,,
90.764,0.074717432,574.3445216,,,,,,,
92.502,0.076252229,576.547059,,,,,,,
94.3,0.077955858,578.7463318,,,,,,,
96.074,0.079559653,581.6144466,,,,,,,
97.89,0.081252112,584.079157,,,,,,,
99.632,0.0829048,586.3258088,,,,,,,
101.489,0.084556879,588.4066201,,,,,,,
103.256,0.086192283,591.2724799,,,,,,,
105.054,0.087827866,593.9844653,,,,,,,
106.802,0.08941952,596.6840015,,,,,,,
108.611,0.091023575,598.5447128,,,,,,,
110.364,0.092614281,600.9677089,,,,,,,
112.201,0.094235494,603.9753496,,,,,,,
113.938,0.095737025,606.4384033,,,,,,,
115.711,0.097241762,608.6460878,,,,,,,
117.449,0.098751174,610.459258,,,,,,,
119.217,0.100207288,612.7920521,,,,,,,
120.983,0.10178043,615.4704883,,,,,,,
122.796,0.103388965,618.3366702,,,,,,,
