x,y,type,temp,stress
0,-0.000313,creep,800,70
0.82,-0.000252,,,
1.1,-0.000192,,,
1.38,-0.000134,,,
1.65,-0.0000755,,,
2.02,-0.0000182,,,
2.32,0.0000386,,,
2.55,0.0000948,,,
2.84,0.00015,,,
3.07,0.000206,,,
3.29,0.00026,,,
3.44,0.000315,,,
3.62,0.000369,,,
3.79,0.000423,,,
3.97,0.000477,,,
4.22,0.00053,,,
4.42,0.000584,,,
4.54,0.000637,,,
4.77,0.00069,,,
4.99,0.000743,,,
5.11,0.000796,,,
5.21,0.000849,,,
5.44,0.000903,,,
5.61,0.000956,,,
5.82,0.00101,,,
5.99,0.00106,,,
6.11,0.00112,,,
6.41,0.00117,,,
6.59,0.00122,,,
6.74,0.00128,,,
7.02,0.00133,,,
7.21,0.00139,,,
7.37,0.00144,,,
7.49,0.0015,,,
7.62,0.00155,,,
7.86,0.00161,,,
8.19,0.00166,,,
8.51,0.00172,,,
8.64,0.00177,,,
8.88,0.00183,,,
9.26,0.00189,,,
9.49,0.00194,,,
9.69,0.002,,,
9.78,0.00206,,,
10.06,0.00211,,,
10.24,0.00217,,,
10.51,0.00223,,,
10.74,0.00229,,,
10.89,0.00234,,,
11.26,0.0024,,,
11.4,0.00246,,,
11.66,0.00252,,,
12.01,0.00258,,,
12.21,0.00264,,,
12.41,0.0027,,,
12.68,0.00276,,,
12.86,0.00282,,,
13,0.00288,,,
13.51,0.00294,,,
13.8,0.003,,,
14.1,0.00305,,,
14.42,0.00311,,,
14.88,0.00317,,,
15.17,0.00323,,,
15.47,0.00329,,,
15.65,0.00335,,,
15.97,0.00341,,,
16.2,0.00347,,,
16.47,0.00353,,,
16.88,0.00359,,,
17.07,0.00365,,,
17.25,0.00371,,,
17.55,0.00378,,,
17.94,0.00384,,,
18.24,0.0039,,,
18.52,0.00396,,,
18.74,0.00402,,,
18.95,0.00409,,,
19.25,0.00415,,,
19.74,0.00421,,,
19.99,0.00428,,,
20.34,0.00434,,,
20.67,0.0044,,,
21.21,0.00447,,,
21.61,0.00453,,,
21.96,0.0046,,,
22.57,0.00466,,,
22.82,0.00473,,,
23.12,0.00479,,,
23.42,0.00486,,,
23.71,0.00492,,,
24.23,0.00499,,,
24.43,0.00505,,,
24.66,0.00512,,,
24.86,0.00518,,,
25.16,0.00524,,,
25.43,0.00531,,,
25.66,0.00537,,,
26.46,0.00543,,,
26.91,0.0055,,,
27.33,0.00556,,,
27.66,0.00562,,,
28.01,0.00568,,,
28.3,0.00574,,,
28.76,0.0058,,,
29.13,0.00586,,,
29.33,0.00591,,,
29.61,0.00597,,,
30.1,0.00603,,,
30.3,0.00609,,,
30.72,0.00615,,,
31.17,0.00621,,,
31.45,0.00626,,,
31.75,0.00632,,,
31.97,0.00638,,,
32.1,0.00643,,,
32.35,0.00649,,,
32.6,0.00654,,,
33.1,0.0066,,,
33.45,0.00665,,,
33.8,0.0067,,,
34.14,0.00675,,,
34.29,0.00681,,,
34.59,0.00686,,,
34.95,0.00691,,,
